,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id
10FTHF5GLUtl_pos,923.0,0.020013985056576904,0.5867318792196785,0.046661217390199815,10FTHF5GLUtl
10FTHF5GLUtm_pos,857.0,0.10380713263430576,0.2069410678735895,0.1612118849251873,10FTHF5GLUtm
10FTHF6GLUtl_pos,925.0,0.018911037751801144,0.5825054527705127,0.04479290746938038,10FTHF6GLUtl
10FTHF6GLUtm_pos,846.0,0.13101762269216735,0.2670827484277251,0.18992905152912903,10FTHF6GLUtm
10FTHF7GLUtl_pos,920.0,0.021773617636058236,0.5680154263988079,0.04872965453823307,10FTHF7GLUtl
10FTHF7GLUtm_pos,853.0,0.11312966692982232,0.29592238060731263,0.16979843210527995,10FTHF7GLUtm
10FTHFtl_neg,923.0,0.020013985056576904,0.5867318792196783,0.046661217390199815,10FTHFtl
10FTHFtm_neg,661.0,0.6600936756849025,-0.0033925860222487024,0.7169207529667339,10FTHFtm
10FTHFtm_pos,883.0,0.05714533217074958,0.4683387926028055,0.1020619693183516,10FTHFtm
11DOCRTSLtm_pos,869.0,0.07945848495353133,0.37314523876333194,0.13365796632466595,11DOCRTSLtm
11DOCRTSLtr_neg,869.0,0.07945848495353133,0.3731452387633227,0.13365796632466595,11DOCRTSLtr
11DOCRTSTRNtm_pos,864.0,0.08897101858770977,0.3640255502802253,0.14484942861750955,11DOCRTSTRNtm
11DOCRTSTRNtr_neg,864.0,0.08897101858770977,0.36402555028021244,0.14484942861750955,11DOCRTSTRNtr
13DAMPPOX_pos,825.0,0.1978992036791376,0.19974429289371784,0.26517762887905766,13DAMPPOX
1MNCAMti_pos,1010.0,0.0011620208925088931,0.6391204795610874,0.005850390240790151,1MNCAMti
1PPDCRp_pos,813.0,0.24588863383026915,0.1948733445677278,0.31451991037009375,1PPDCRp
1a25DHVITD3TRn_pos,878.0,0.06442727129161098,0.4305717102251074,0.1130591347719328,1a25DHVITD3TRn
24NPHte_neg,865.0,0.08699845363819925,0.38331664920114694,0.14288386391697214,24NPHte
24_25DHVITD2t_pos,879.0,0.06291258855031737,0.39173979001623693,0.11132785436672732,24_25DHVITD2t
24_25DHVITD2tm_pos,879.0,0.06291258855031737,0.39173979001623693,0.11132785436672732,24_25DHVITD2tm
24_25DHVITD3t_pos,869.0,0.07945848495353133,0.3914979966293227,0.13365796632466595,24_25DHVITD3t
24_25DHVITD3tm_pos,875.0,0.06915283536563983,0.3935905985962667,0.11952229016515639,24_25DHVITD3tm
24_25VITD2Hm_pos,879.0,0.06291258855031737,0.39173979001623693,0.11132785436672732,24_25VITD2Hm
24_25VITD3Hm_pos,875.0,0.06915283536563983,0.393590598596266,0.11952229016515639,24_25VITD3Hm
25HVITD3c_pos,878.0,0.06442727129161098,0.43057171022511376,0.1130591347719328,25HVITD3c
2AMACHYD_pos,773.0,0.46142314563649234,0.18344204580608225,0.5264316090667732,2AMACHYD
2AMACSULT_pos,915.0,0.025006132129066348,0.5021333094796262,0.05423666560353422,2AMACSULT
2AMADPTm_pos,915.0,0.025006132129066348,0.650365706594407,0.05423666560353422,2AMADPTm
2DR1PP_pos,945.0,0.010490611762062592,0.5662913000584037,0.029588324499386726,2DR1PP
2HBO_neg,977.0,0.0037515031745456845,0.5333277304945904,0.013765341519178017,2HBO
2HBO_pos,985.0,0.002853335168619983,0.570717050856749,0.01164681157209968,2HBO
2HBt2_neg,1023.0,0.0007096961921797759,0.5474527744884068,0.003930393742283759,2HBt2
2HBt2_pos,1023.0,0.0007096961921797759,0.5459770740463631,0.003930393742283759,2HBt2
2HCO3_NAt_neg,746.0,0.6524357158746895,0.21311850073799954,0.7100195509144207,2HCO3_NAt
2HCO3_NAt_pos,749.0,0.6296833113747855,0.21383799394745998,0.6875489456698786,2HCO3_NAt
2MB2COAc_pos,725.0,0.8197707698094888,0.07651682721818892,0.8526503232062723,2MB2COAc
