cell_id,group
1_A,A
2_A,A
3_A,A
4_A,A
5_A,A
6_A,A
7_A,A
8_A,A
9_A,A
10_A,A
11_A,A
12_A,A
13_A,A
14_A,A
15_A,A
16_A,A
17_A,A
18_A,A
19_A,A
20_A,A
21_A,A
22_A,A
23_A,A
24_A,A
25_A,A
26_A,A
27_A,A
28_A,A
29_A,A
30_A,A
31_A,A
32_A,A
33_A,A
36_A,A
37_A,A
38_A,A
40_A,A
1_B,B
6_B,B
7_B,B
8_B,B
9_B,B
10_B,B
11_B,B
12_B,B
13_B,B
14_B,B
15_B,B
16_B,B
17_B,B
18_B,B
19_B,B
20_B,B
21_B,B
22_B,B
23_B,B
24_B,B
25_B,B
26_B,B
27_B,B
28_B,B
29_B,B
30_B,B
31_B,B
32_B,B
33_B,B
34_B,B
35_B,B
36_B,B
37_B,B
38_B,B
40_B,B
5_C,C
6_C,C
7_C,C
9_C,C
10_C,C
11_C,C
12_C,C
13_C,C
14_C,C
15_C,C
16_C,C
17_C,C
18_C,C
19_C,C
20_C,C
21_C,C
22_C,C
23_C,C
24_C,C
25_C,C
26_C,C
27_C,C
28_C,C
29_C,C
30_C,C
31_C,C
32_C,C
33_C,C
34_C,C
35_C,C
36_C,C
37_C,C
38_C,C
40_C,C
2_D,D
3_D,D
4_D,D
5_D,D
6_D,D
7_D,D
8_D,D
9_D,D
10_D,D
11_D,D
12_D,D
13_D,D
14_D,D
15_D,D
16_D,D
17_D,D
18_D,D
19_D,D
20_D,D
21_D,D
22_D,D
23_D,D
24_D,D
25_D,D
26_D,D
27_D,D
28_D,D
29_D,D
30_D,D
31_D,D
32_D,D
33_D,D
34_D,D
35_D,D
36_D,D
37_D,D
38_D,D
40_D,D
